hold_period,min_trades_threshold,profit_buffer_pct,ticker_count,eligible_ticker_count,positive_score_ticker_count,total_trades_sum,mean_score,mean_win_rate,mean_buffered_win_rate,mean_average_return,mean_max_drawdown,global_selection_score,trade_label,trade_retention_vs_current_pct,eligible_ticker_floor,trade_retention_floor_pct,meets_eligible_ticker_floor,meets_trade_retention_floor,usable_for_framework_redesign
3,10,0.0,12,12,12,1231,30.475800000000003,41.233333333333334,41.235166666666665,-0.05121666666666665,43.533416666666675,213.57580000000002,t_plus_3,117.0152,5,85.0,True,True,True
3,8,0.0,12,12,11,1231,22.475791666666666,41.233333333333334,41.235166666666665,-0.05121666666666665,43.533416666666675,205.57579166666667,t_plus_3,117.0152,5,85.0,True,True,True
5,10,0.0,12,12,12,1052,34.132691666666666,44.42416666666667,44.42263333333333,0.22591666666666665,39.51779166666667,199.33269166666668,t_plus_5,100.0,5,85.0,True,True,True
3,5,0.0,12,12,10,1231,10.475783333333334,41.233333333333334,41.235166666666665,-0.05121666666666665,43.533416666666675,193.57578333333333,t_plus_3,117.0152,5,85.0,True,True,True
5,8,0.0,12,12,12,1052,26.13269166666667,44.42416666666667,44.42263333333333,0.22591666666666665,39.51779166666667,191.33269166666668,t_plus_5,100.0,5,85.0,True,True,True
7,10,0.0,12,12,12,942,31.545033333333333,45.774166666666666,45.773575,0.3213666666666667,45.98093333333333,185.74503333333334,t_plus_7,89.5437,5,85.0,True,True,True
5,5,0.0,12,12,12,1052,14.132691666666666,44.42416666666667,44.42263333333333,0.22591666666666665,39.51779166666667,179.33269166666668,t_plus_5,100.0,5,85.0,True,True,True
7,8,0.0,12,12,11,942,23.545033333333333,45.774166666666666,45.773575,0.3213666666666667,45.98093333333333,177.74503333333334,t_plus_7,89.5437,5,85.0,True,True,True
7,5,0.0,12,12,11,942,11.545025,45.774166666666666,45.773575,0.3213666666666667,45.98093333333333,165.745025,t_plus_7,89.5437,5,85.0,True,True,True
