experiment_stage,candidate_id,tested_segment,segment_field,segment_value,segment_tickers,segment_ticker_count,source_results_file,eligible_trade_floor,min_eligible_tickers_required,minimum_trade_sample_required,ticker_count,eligible_ticker_count,total_trades_sum,positive_score_ticker_count,mean_average_return_all,mean_average_return_eligible,mean_score_all,supportive_but_ineligible_ticker_count,positive_return_but_ineligible_ticker_count,sample_skew_gap,outlier_bias_risk,segment_support_ok,decision,global_promotion_allowed,recommended_next_action
baseline_v3,baseline_v3_ema20_trend_guard,sentiment_segment=sentiment_poor,sentiment_segment,sentiment_poor,BBCA|BUMI|GOTO|ICBP|INDF|UNVR,6,baseline_v3_signal_rule_results.csv,5,2,10,4,3,18,3,4.5183,7.2823,25.97587,0,0,-2.764,False,True,keep_experimental_for_segment_review,False,keep_candidate_for_segment_review_only_on_sentiment_segment_sentiment_poor
baseline_v3,baseline_v3_ema20_trend_guard,news_segment=mid_news,news_segment,mid_news,ASII|BMRI|BUMI|GOTO|INDF,5,baseline_v3_signal_rule_results.csv,5,2,10,4,3,19,2,2.93485,5.17103,18.65918,0,0,-2.23618,False,True,keep_experimental_for_segment_review,False,keep_candidate_for_segment_review_only_on_news_segment_mid_news
baseline_v3,baseline_v3_ema20_trend_guard,volatility_segment=mixed_volatility,volatility_segment,mixed_volatility,ADRO|BMRI|GOTO|TLKM,4,baseline_v3_signal_rule_results.csv,5,2,10,4,4,29,3,3.61745,3.61745,28.1021,0,0,0.0,False,True,keep_experimental_for_segment_review,False,keep_candidate_for_segment_review_only_on_volatility_segment_mixed_volatility
baseline_v3,baseline_v3_ema20_trend_guard,liquidity_segment=thin_sparse,liquidity_segment,thin_sparse,ADRO|ASII|ICBP|INDF|TLKM|UNVR,6,baseline_v3_signal_rule_results.csv,5,2,10,4,4,30,4,0.0496,0.0496,22.66185,0,0,0.0,False,True,keep_experimental_for_segment_review,False,keep_candidate_for_segment_review_only_on_liquidity_segment_thin_sparse
baseline_v4,baseline_v4_quality_gate_guard,liquidity_segment=thin_sparse,liquidity_segment,thin_sparse,ADRO|ASII|ICBP|INDF|TLKM|UNVR,6,baseline_v4_quality_gate_results.csv,5,2,10,4,1,17,2,-0.93705,-1.3033,-2.90733,1,1,0.36625,False,False,no_go,False,no_go_keep_candidate_out_of_liquidity_segment_thin_sparse_segment_shortlist
baseline_v4,baseline_v4_quality_gate_guard,volatility_segment=mixed_volatility,volatility_segment,mixed_volatility,ADRO|BMRI|GOTO|TLKM,4,baseline_v4_quality_gate_results.csv,5,2,10,4,2,18,2,23.86982,-3.2779,63.44352,1,1,27.14772,True,False,no_go,False,no_go_keep_candidate_out_of_volatility_segment_mixed_volatility_segment_shortlist
baseline_v2,baseline_v2_hold3_with_trend_guard,volatility_segment=mixed_volatility,volatility_segment,mixed_volatility,ADRO|BMRI|GOTO|TLKM,4,baseline_v2_validation_per_ticker.csv,5,2,10,4,1,9,2,11.80595,-3.5549,20.88932,1,1,15.36085,True,False,no_go,False,no_go_keep_candidate_out_of_volatility_segment_mixed_volatility_segment_shortlist
baseline_v2,baseline_v2_hold3_with_trend_guard,liquidity_segment=thin_sparse,liquidity_segment,thin_sparse,ADRO|ASII|ICBP|INDF|TLKM|UNVR,6,baseline_v2_validation_per_ticker.csv,5,2,10,4,1,7,1,-2.3951,-3.5549,-23.87085,0,0,1.1598,False,False,no_go,False,no_go_keep_candidate_out_of_liquidity_segment_thin_sparse_segment_shortlist
baseline_v4,baseline_v4_quality_gate_guard,news_segment=mid_news,news_segment,mid_news,ASII|BMRI|BUMI|GOTO|INDF,5,baseline_v4_quality_gate_results.csv,5,2,10,4,1,13,1,22.86685,-5.2525,52.28895,1,1,28.11935,True,False,no_go,False,no_go_keep_candidate_out_of_news_segment_mid_news_segment_shortlist
baseline_v5,baseline_v5_hold4_extension,liquidity_segment=thin_sparse,liquidity_segment,thin_sparse,ADRO|ASII|ICBP|INDF|TLKM|UNVR,6,baseline_v5_exit_hold_results.csv,5,3,15,6,0,11,2,-0.05448,,-10.20648,2,3,,False,False,no_go,False,no_go_keep_candidate_out_of_liquidity_segment_thin_sparse_segment_shortlist
baseline_v4,baseline_v4_quality_gate_guard,sentiment_segment=sentiment_poor,sentiment_segment,sentiment_poor,BBCA|BUMI|GOTO|ICBP|INDF|UNVR,6,baseline_v4_quality_gate_results.csv,5,2,10,4,0,10,2,25.0975,,54.62725,2,2,,True,False,no_go,False,no_go_keep_candidate_out_of_sentiment_segment_sentiment_poor_segment_shortlist
baseline_v5,baseline_v5_hold4_extension,news_segment=mid_news,news_segment,mid_news,ASII|BMRI|BUMI|GOTO|INDF,5,baseline_v5_exit_hold_results.csv,5,3,15,5,0,9,1,-0.43278,,-13.19644,1,1,,False,False,no_go,False,no_go_keep_candidate_out_of_news_segment_mid_news_segment_shortlist
baseline_v5,baseline_v5_hold4_extension,volatility_segment=mixed_volatility,volatility_segment,mixed_volatility,ADRO|BMRI|GOTO|TLKM,4,baseline_v5_exit_hold_results.csv,5,2,10,4,0,9,1,-1.05595,,-15.88837,1,1,,False,False,no_go,False,no_go_keep_candidate_out_of_volatility_segment_mixed_volatility_segment_shortlist
baseline_v5,baseline_v5_hold4_extension,sentiment_segment=sentiment_poor,sentiment_segment,sentiment_poor,BBCA|BUMI|GOTO|ICBP|INDF|UNVR,6,baseline_v5_exit_hold_results.csv,5,3,15,6,0,5,1,0.50918,,-16.06038,1,2,,True,False,no_go,False,no_go_keep_candidate_out_of_sentiment_segment_sentiment_poor_segment_shortlist
baseline_v2,baseline_v2_hold3_with_trend_guard,news_segment=mid_news,news_segment,mid_news,ASII|BMRI|BUMI|GOTO|INDF,5,baseline_v2_validation_per_ticker.csv,5,2,10,4,0,4,1,11.8056,,8.52157,1,1,,True,False,no_go,False,no_go_keep_candidate_out_of_news_segment_mid_news_segment_shortlist
baseline_v2,baseline_v2_hold3_with_trend_guard,sentiment_segment=sentiment_poor,sentiment_segment,sentiment_poor,BBCA|BUMI|GOTO|ICBP|INDF|UNVR,6,baseline_v2_validation_per_ticker.csv,5,2,10,4,0,1,1,14.47368,,10.3092,1,1,,True,False,no_go,False,no_go_keep_candidate_out_of_sentiment_segment_sentiment_poor_segment_shortlist
