variant_id,variant_label,ticker,rows,date_start,date_end,applied_threshold,applied_strict_mode,bullish_days,non_bullish_days,bullish_day_pct,pre_filter_signals,post_filter_signals,skipped_signals,signal_retention_pct,coverage_collapsed,pre_filter_total_trades,post_filter_total_trades,trade_retention_pct,pre_filter_win_rate,post_filter_win_rate,delta_win_rate,pre_filter_average_return,post_filter_average_return,delta_average_return,pre_filter_max_drawdown,post_filter_max_drawdown,delta_max_drawdown
price_above_ema200,Baseline current,ASII,6341,2000-10-17,2026-04-22,1.5,False,4422,1919,69.7366,587,486,101,82.7939,False,295,248,84.0678,56.61,53.63,-2.98,1.2896,0.9453,-0.3443,28.1085,36.6517,8.5432
price_above_ema200,Baseline current,BBCA,5392,2004-06-08,2026-04-22,1.5,False,3949,1443,73.2381,509,446,63,87.6228,False,276,240,86.9565,52.17,50.42,-1.75,0.2998,0.2795,-0.0203,29.9531,26.1163,-3.8368
price_above_ema200,Baseline current,BBRI,5543,2003-11-10,2026-04-22,1.5,False,4079,1464,73.5883,483,439,44,90.8903,False,256,231,90.2344,46.48,46.32,-0.16,0.1429,0.1007,-0.0422,49.1702,44.4829,-4.6873
price_above_ema200,Baseline current,BMRI,5628,2003-07-14,2026-04-22,1.5,False,4162,1466,73.9517,532,468,64,87.9699,False,280,248,88.5714,47.86,47.98,0.12,0.3601,0.4355,0.0754,28.0467,23.4929,-4.5538
price_above_ema200,Baseline current,GOTO,961,2022-04-11,2026-04-22,1.5,False,619,342,64.4121,61,43,18,70.4918,False,31,21,67.7419,32.26,28.57,-3.69,-1.7196,-2.7963,-1.0767,47.7039,47.1468,-0.5571
price_above_ema200,Baseline current,TLKM,5311,2004-09-28,2026-04-22,1.5,False,3869,1442,72.8488,429,357,72,83.2168,False,238,195,81.9328,43.28,42.05,-1.23,-0.1968,-0.157,0.0398,55.1931,37.6195,-17.5736
price_above_ema200,Baseline current,UNVR,5591,2003-09-03,2026-04-22,1.5,False,4126,1465,73.7972,550,468,82,85.0909,False,288,249,86.4583,47.92,47.79,-0.13,0.1207,0.0965,-0.0242,43.4045,38.436,-4.9685
price_above_ema200_and_slope_up,Price above EMA200 and EMA200 slope up,ASII,6341,2000-10-17,2026-04-22,1.5,False,4422,1919,69.7366,587,486,101,82.7939,False,295,248,84.0678,56.61,53.63,-2.98,1.2896,0.9453,-0.3443,28.1085,36.6517,8.5432
price_above_ema200_and_slope_up,Price above EMA200 and EMA200 slope up,BBCA,5392,2004-06-08,2026-04-22,1.5,False,3949,1443,73.2381,509,446,63,87.6228,False,276,240,86.9565,52.17,50.42,-1.75,0.2998,0.2795,-0.0203,29.9531,26.1163,-3.8368
price_above_ema200_and_slope_up,Price above EMA200 and EMA200 slope up,BBRI,5543,2003-11-10,2026-04-22,1.5,False,4079,1464,73.5883,483,439,44,90.8903,False,256,231,90.2344,46.48,46.32,-0.16,0.1429,0.1007,-0.0422,49.1702,44.4829,-4.6873
price_above_ema200_and_slope_up,Price above EMA200 and EMA200 slope up,BMRI,5628,2003-07-14,2026-04-22,1.5,False,4162,1466,73.9517,532,468,64,87.9699,False,280,248,88.5714,47.86,47.98,0.12,0.3601,0.4355,0.0754,28.0467,23.4929,-4.5538
price_above_ema200_and_slope_up,Price above EMA200 and EMA200 slope up,GOTO,961,2022-04-11,2026-04-22,1.5,False,619,342,64.4121,61,43,18,70.4918,False,31,21,67.7419,32.26,28.57,-3.69,-1.7196,-2.7963,-1.0767,47.7039,47.1468,-0.5571
price_above_ema200_and_slope_up,Price above EMA200 and EMA200 slope up,TLKM,5311,2004-09-28,2026-04-22,1.5,False,3869,1442,72.8488,429,357,72,83.2168,False,238,195,81.9328,43.28,42.05,-1.23,-0.1968,-0.157,0.0398,55.1931,37.6195,-17.5736
price_above_ema200_and_slope_up,Price above EMA200 and EMA200 slope up,UNVR,5591,2003-09-03,2026-04-22,1.5,False,4126,1465,73.7972,550,468,82,85.0909,False,288,249,86.4583,47.92,47.79,-0.13,0.1207,0.0965,-0.0242,43.4045,38.436,-4.9685
price_above_ema200_buffer_1pct,Price above EMA200 by 1%,ASII,6341,2000-10-17,2026-04-22,1.5,False,4187,2154,66.0306,587,476,111,81.0903,False,295,242,82.0339,56.61,54.55,-2.06,1.2896,1.0072,-0.2824,28.1085,33.1817,5.0732
price_above_ema200_buffer_1pct,Price above EMA200 by 1%,BBCA,5392,2004-06-08,2026-04-22,1.5,False,3720,1672,68.9911,509,427,82,83.89,False,276,230,83.3333,52.17,50.87,-1.3,0.2998,0.2824,-0.0174,29.9531,24.4865,-5.4666
price_above_ema200_buffer_1pct,Price above EMA200 by 1%,BBRI,5543,2003-11-10,2026-04-22,1.5,False,3850,1693,69.457,483,427,56,88.4058,False,256,223,87.1094,46.48,45.74,-0.74,0.1429,0.0344,-0.1085,49.1702,43.3208,-5.8494
price_above_ema200_buffer_1pct,Price above EMA200 by 1%,BMRI,5628,2003-07-14,2026-04-22,1.5,False,3933,1695,69.8827,532,453,79,85.1504,False,280,237,84.6429,47.86,46.84,-1.02,0.3601,0.3713,0.0112,28.0467,27.224,-0.8227
price_above_ema200_buffer_1pct,Price above EMA200 by 1%,GOTO,961,2022-04-11,2026-04-22,1.5,False,551,410,57.3361,61,38,23,62.2951,False,31,18,58.0645,32.26,33.33,1.07,-1.7196,-2.2359,-0.5163,47.7039,39.8702,-7.8337
price_above_ema200_buffer_1pct,Price above EMA200 by 1%,TLKM,5311,2004-09-28,2026-04-22,1.5,False,3641,1670,68.5558,429,346,83,80.6527,False,238,188,78.9916,43.28,42.02,-1.26,-0.1968,-0.2365,-0.0397,55.1931,42.5347,-12.6584
price_above_ema200_buffer_1pct,Price above EMA200 by 1%,UNVR,5591,2003-09-03,2026-04-22,1.5,False,3897,1694,69.7013,550,449,101,81.6364,False,288,238,82.6389,47.92,47.9,-0.02,0.1207,0.119,-0.0017,43.4045,38.655,-4.7495
ema50_above_ema200,EMA50 above EMA200,ASII,6341,2000-10-17,2026-04-22,1.5,False,4526,1815,71.3768,587,441,146,75.1278,False,295,223,75.5932,56.61,54.71,-1.9,1.2896,1.1328,-0.1568,28.1085,25.9672,-2.1413
ema50_above_ema200,EMA50 above EMA200,BBCA,5392,2004-06-08,2026-04-22,1.5,False,4072,1320,75.5193,509,429,80,84.2829,False,276,230,83.3333,52.17,50.87,-1.3,0.2998,0.2262,-0.0736,29.9531,26.1163,-3.8368
ema50_above_ema200,EMA50 above EMA200,BBRI,5543,2003-11-10,2026-04-22,1.5,False,4204,1339,75.8434,483,412,71,85.3002,False,256,215,83.9844,46.48,46.05,-0.43,0.1429,0.076,-0.0669,49.1702,38.4854,-10.6848
ema50_above_ema200,EMA50 above EMA200,BMRI,5628,2003-07-14,2026-04-22,1.5,False,4287,1341,76.1727,532,443,89,83.2707,False,280,229,81.7857,47.86,46.29,-1.57,0.3601,0.3825,0.0224,28.0467,31.815,3.7683
ema50_above_ema200,EMA50 above EMA200,GOTO,961,2022-04-11,2026-04-22,1.5,False,660,301,68.6785,61,43,18,70.4918,False,31,21,67.7419,32.26,38.1,5.84,-1.7196,-0.7687,0.9509,47.7039,38.1522,-9.5517
ema50_above_ema200,EMA50 above EMA200,TLKM,5311,2004-09-28,2026-04-22,1.5,False,3992,1319,75.1648,429,352,77,82.0513,False,238,191,80.2521,43.28,42.93,-0.35,-0.1968,-0.1544,0.0424,55.1931,36.797,-18.3961
ema50_above_ema200,EMA50 above EMA200,UNVR,5591,2003-09-03,2026-04-22,1.5,False,4251,1340,76.0329,550,482,68,87.6364,False,288,247,85.7639,47.92,46.96,-0.96,0.1207,0.0309,-0.0898,43.4045,41.4751,-1.9294
soft_risk_off_near_ema200,Soft risk-off near EMA200,ASII,6341,2000-10-17,2026-04-22,1.5,False,4422,1919,69.7366,587,486,101,82.7939,False,295,248,84.0678,56.61,53.63,-2.98,1.2896,0.9453,-0.3443,28.1085,36.6517,8.5432
soft_risk_off_near_ema200,Soft risk-off near EMA200,BBCA,5392,2004-06-08,2026-04-22,1.5,False,3949,1443,73.2381,509,446,63,87.6228,False,276,240,86.9565,52.17,50.42,-1.75,0.2998,0.2795,-0.0203,29.9531,26.1163,-3.8368
soft_risk_off_near_ema200,Soft risk-off near EMA200,BBRI,5543,2003-11-10,2026-04-22,1.5,False,4079,1464,73.5883,483,439,44,90.8903,False,256,231,90.2344,46.48,46.32,-0.16,0.1429,0.1007,-0.0422,49.1702,44.4829,-4.6873
soft_risk_off_near_ema200,Soft risk-off near EMA200,BMRI,5628,2003-07-14,2026-04-22,1.5,False,4162,1466,73.9517,532,468,64,87.9699,False,280,248,88.5714,47.86,47.98,0.12,0.3601,0.4355,0.0754,28.0467,23.4929,-4.5538
soft_risk_off_near_ema200,Soft risk-off near EMA200,GOTO,961,2022-04-11,2026-04-22,1.5,False,619,342,64.4121,61,43,18,70.4918,False,31,21,67.7419,32.26,28.57,-3.69,-1.7196,-2.7963,-1.0767,47.7039,47.1468,-0.5571
soft_risk_off_near_ema200,Soft risk-off near EMA200,TLKM,5311,2004-09-28,2026-04-22,1.5,False,3869,1442,72.8488,429,357,72,83.2168,False,238,195,81.9328,43.28,42.05,-1.23,-0.1968,-0.157,0.0398,55.1931,37.6195,-17.5736
soft_risk_off_near_ema200,Soft risk-off near EMA200,UNVR,5591,2003-09-03,2026-04-22,1.5,False,4126,1465,73.7972,550,468,82,85.0909,False,288,249,86.4583,47.92,47.79,-0.13,0.1207,0.0965,-0.0242,43.4045,38.436,-4.9685
