policy_id,policy_label,ticker,rows,date_start,date_end,applied_threshold,applied_strict_mode,bullish_days,non_bullish_days,bullish_day_pct,pre_filter_signals,post_filter_signals,skipped_signals,signal_retention_pct,coverage_collapsed,pre_filter_total_trades,post_filter_total_trades,trade_retention_pct,pre_filter_win_rate,post_filter_win_rate,delta_win_rate,pre_filter_average_return,post_filter_average_return,delta_average_return,pre_filter_max_drawdown,post_filter_max_drawdown,delta_max_drawdown
current_non_bullish_on_missing,Current missing => non-bullish,ASII,6341,2000-10-17,2026-04-22,1.5,False,4526,1815,71.3768,587,441,146,75.1278,False,295,223,75.5932,56.61,54.71,-1.9,1.2896,1.1328,-0.1568,28.1085,25.9672,-2.1413
current_non_bullish_on_missing,Current missing => non-bullish,BBCA,5392,2004-06-08,2026-04-22,1.5,False,4072,1320,75.5193,509,429,80,84.2829,False,276,230,83.3333,52.17,50.87,-1.3,0.2998,0.2262,-0.0736,29.9531,26.1163,-3.8368
current_non_bullish_on_missing,Current missing => non-bullish,BBRI,5543,2003-11-10,2026-04-22,1.5,False,4204,1339,75.8434,483,412,71,85.3002,False,256,215,83.9844,46.48,46.05,-0.43,0.1429,0.076,-0.0669,49.1702,38.4854,-10.6848
current_non_bullish_on_missing,Current missing => non-bullish,BMRI,5628,2003-07-14,2026-04-22,1.5,False,4287,1341,76.1727,532,443,89,83.2707,False,280,229,81.7857,47.86,46.29,-1.57,0.3601,0.3825,0.0224,28.0467,31.815,3.7683
current_non_bullish_on_missing,Current missing => non-bullish,GOTO,961,2022-04-11,2026-04-22,1.5,False,660,301,68.6785,61,43,18,70.4918,False,31,21,67.7419,32.26,38.1,5.84,-1.7196,-0.7687,0.9509,47.7039,38.1522,-9.5517
current_non_bullish_on_missing,Current missing => non-bullish,TLKM,5311,2004-09-28,2026-04-22,1.5,False,3992,1319,75.1648,429,352,77,82.0513,False,238,191,80.2521,43.28,42.93,-0.35,-0.1968,-0.1544,0.0424,55.1931,36.797,-18.3961
current_non_bullish_on_missing,Current missing => non-bullish,UNVR,5591,2003-09-03,2026-04-22,1.5,False,4251,1340,76.0329,550,482,68,87.6364,False,288,247,85.7639,47.92,46.96,-0.96,0.1207,0.0309,-0.0898,43.4045,41.4751,-1.9294
carry_forward_previous_available_regime,Carry-forward previous available regime,ASII,6341,2000-10-17,2026-04-22,1.5,False,4625,1716,72.938,587,441,146,75.1278,False,295,223,75.5932,56.61,54.71,-1.9,1.2896,1.1328,-0.1568,28.1085,25.9672,-2.1413
carry_forward_previous_available_regime,Carry-forward previous available regime,BBCA,5392,2004-06-08,2026-04-22,1.5,False,4141,1251,76.799,509,429,80,84.2829,False,276,230,83.3333,52.17,50.87,-1.3,0.2998,0.2262,-0.0736,29.9531,26.1163,-3.8368
carry_forward_previous_available_regime,Carry-forward previous available regime,BBRI,5543,2003-11-10,2026-04-22,1.5,False,4292,1251,77.431,483,412,71,85.3002,False,256,215,83.9844,46.48,46.05,-0.43,0.1429,0.076,-0.0669,49.1702,38.4854,-10.6848
carry_forward_previous_available_regime,Carry-forward previous available regime,BMRI,5628,2003-07-14,2026-04-22,1.5,False,4377,1251,77.7719,532,443,89,83.2707,False,280,229,81.7857,47.86,46.29,-1.57,0.3601,0.3825,0.0224,28.0467,31.815,3.7683
carry_forward_previous_available_regime,Carry-forward previous available regime,GOTO,961,2022-04-11,2026-04-22,1.5,False,660,301,68.6785,61,43,18,70.4918,False,31,21,67.7419,32.26,38.1,5.84,-1.7196,-0.7687,0.9509,47.7039,38.1522,-9.5517
carry_forward_previous_available_regime,Carry-forward previous available regime,TLKM,5311,2004-09-28,2026-04-22,1.5,False,4060,1251,76.4451,429,352,77,82.0513,False,238,191,80.2521,43.28,42.93,-0.35,-0.1968,-0.1544,0.0424,55.1931,36.797,-18.3961
carry_forward_previous_available_regime,Carry-forward previous available regime,UNVR,5591,2003-09-03,2026-04-22,1.5,False,4340,1251,77.6248,550,483,67,87.8182,False,288,247,85.7639,47.92,46.96,-0.96,0.1207,0.0309,-0.0898,43.4045,41.4751,-1.9294
explicit_previous_trading_day_alignment,Explicit previous-trading-day alignment,ASII,6341,2000-10-17,2026-04-22,1.5,False,4625,1716,72.938,587,441,146,75.1278,False,295,223,75.5932,56.61,54.71,-1.9,1.2896,1.1328,-0.1568,28.1085,25.9672,-2.1413
explicit_previous_trading_day_alignment,Explicit previous-trading-day alignment,BBCA,5392,2004-06-08,2026-04-22,1.5,False,4141,1251,76.799,509,429,80,84.2829,False,276,230,83.3333,52.17,50.87,-1.3,0.2998,0.2262,-0.0736,29.9531,26.1163,-3.8368
explicit_previous_trading_day_alignment,Explicit previous-trading-day alignment,BBRI,5543,2003-11-10,2026-04-22,1.5,False,4292,1251,77.431,483,412,71,85.3002,False,256,215,83.9844,46.48,46.05,-0.43,0.1429,0.076,-0.0669,49.1702,38.4854,-10.6848
explicit_previous_trading_day_alignment,Explicit previous-trading-day alignment,BMRI,5628,2003-07-14,2026-04-22,1.5,False,4377,1251,77.7719,532,443,89,83.2707,False,280,229,81.7857,47.86,46.29,-1.57,0.3601,0.3825,0.0224,28.0467,31.815,3.7683
explicit_previous_trading_day_alignment,Explicit previous-trading-day alignment,GOTO,961,2022-04-11,2026-04-22,1.5,False,660,301,68.6785,61,43,18,70.4918,False,31,21,67.7419,32.26,38.1,5.84,-1.7196,-0.7687,0.9509,47.7039,38.1522,-9.5517
explicit_previous_trading_day_alignment,Explicit previous-trading-day alignment,TLKM,5311,2004-09-28,2026-04-22,1.5,False,4060,1251,76.4451,429,352,77,82.0513,False,238,191,80.2521,43.28,42.93,-0.35,-0.1968,-0.1544,0.0424,55.1931,36.797,-18.3961
explicit_previous_trading_day_alignment,Explicit previous-trading-day alignment,UNVR,5591,2003-09-03,2026-04-22,1.5,False,4340,1251,77.6248,550,483,67,87.8182,False,288,247,85.7639,47.92,46.96,-0.96,0.1207,0.0309,-0.0898,43.4045,41.4751,-1.9294
