ticker,best_threshold,strict_mode,decision_confidence,decision_margin,trade_floor_override,baseline_threshold,baseline_total_trades,baseline_win_rate,baseline_average_return,baseline_max_drawdown,winning_total_trades,winning_win_rate,winning_average_return,winning_max_drawdown,winning_score,winning_trade_retention_pct,winning_win_rate_delta,winning_average_return_delta,winning_max_drawdown_delta,selection_reason,priority_from_previous_artifacts,prior_action_bucket,prior_recommended_threshold_action,heuristic_alignment,category,market_cap_group,sector,beta_group
ADRO,1.5,True,low,0.3549999999999969,False,2.0,2,0.0,-0.1901,0.0,3,0.0,-0.7934,0.3802,-36.645,150.0,0.0,-0.6033,0.3802,"Threshold 1.5 dipilih karena menangkap trade lebih banyak dengan kualitas yang masih lebih baik dari baseline. win_rate_delta=+0.00 pp, average_return_delta=-0.6033, trade_retention=150.0%, max_drawdown_delta=+0.3802. Margin pemenang sempit, jadi keputusan ini masih perlu verifikasi tambahan.",False,,,not_available,energy,,energi,
ASII,2.0,True,low,0.0,False,2.0,1,0.0,-3.4221,0.0,1,0.0,-3.4221,0.0,-39.0,100.0,0.0,0.0,0.0,"Threshold 2.0 tetap unggul atau paling stabil dibanding alternatif lain. win_rate_delta=+0.00 pp, average_return_delta=+0.0000, trade_retention=100.0%, max_drawdown_delta=+0.0000. Margin pemenang sempit, jadi keputusan ini masih perlu verifikasi tambahan.",False,,,not_available,automotive,,otomotif,
BMRI,2.0,True,low,0.0,False,2.0,1,0.0,-5.4326,0.0,1,0.0,-5.4326,0.0,-39.0,100.0,0.0,0.0,0.0,"Threshold 2.0 tetap unggul atau paling stabil dibanding alternatif lain. win_rate_delta=+0.00 pp, average_return_delta=+0.0000, trade_retention=100.0%, max_drawdown_delta=+0.0000. Margin pemenang sempit, jadi keputusan ini masih perlu verifikasi tambahan.",False,,,not_available,finance,,perbankan,
TLKM,2.0,True,low,0.0,False,2.0,1,0.0,-6.1728,0.0,1,0.0,-6.1728,0.0,-39.0,100.0,0.0,0.0,0.0,"Threshold 2.0 tetap unggul atau paling stabil dibanding alternatif lain. win_rate_delta=+0.00 pp, average_return_delta=+0.0000, trade_retention=100.0%, max_drawdown_delta=+0.0000. Margin pemenang sempit, jadi keputusan ini masih perlu verifikasi tambahan.",False,,,not_available,telco,,telekomunikasi,
BBCA,2.0,True,low,0.0,False,2.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,-53.0,0.0,0.0,0.0,0.0,"Threshold 2.0 tetap unggul atau paling stabil dibanding alternatif lain. win_rate_delta=+0.00 pp, average_return_delta=+0.0000, trade_retention=0.0%, max_drawdown_delta=+0.0000. Margin pemenang sempit, jadi keputusan ini masih perlu verifikasi tambahan.",False,,,not_available,finance,,perbankan,
BBRI,2.0,True,low,0.0,False,2.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,-53.0,0.0,0.0,0.0,0.0,"Threshold 2.0 tetap unggul atau paling stabil dibanding alternatif lain. win_rate_delta=+0.00 pp, average_return_delta=+0.0000, trade_retention=0.0%, max_drawdown_delta=+0.0000. Margin pemenang sempit, jadi keputusan ini masih perlu verifikasi tambahan.",False,,,not_available,finance,,perbankan,
BUMI,2.0,True,low,0.0,False,2.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,-53.0,0.0,0.0,0.0,0.0,"Threshold 2.0 tetap unggul atau paling stabil dibanding alternatif lain. win_rate_delta=+0.00 pp, average_return_delta=+0.0000, trade_retention=0.0%, max_drawdown_delta=+0.0000. Margin pemenang sempit, jadi keputusan ini masih perlu verifikasi tambahan.",False,,,not_available,mining,,pertambangan,
DEWA,2.0,True,low,0.0,False,2.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,-53.0,0.0,0.0,0.0,0.0,"Threshold 2.0 tetap unggul atau paling stabil dibanding alternatif lain. win_rate_delta=+0.00 pp, average_return_delta=+0.0000, trade_retention=0.0%, max_drawdown_delta=+0.0000. Margin pemenang sempit, jadi keputusan ini masih perlu verifikasi tambahan.",False,,,not_available,mining,,pertambangan,
GOTO,2.0,True,low,0.0,False,2.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,-53.0,0.0,0.0,0.0,0.0,"Threshold 2.0 tetap unggul atau paling stabil dibanding alternatif lain. win_rate_delta=+0.00 pp, average_return_delta=+0.0000, trade_retention=0.0%, max_drawdown_delta=+0.0000. Margin pemenang sempit, jadi keputusan ini masih perlu verifikasi tambahan.",False,,,not_available,technology,,teknologi,
UNVR,2.0,True,low,0.0,False,2.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,-53.0,0.0,0.0,0.0,0.0,"Threshold 2.0 tetap unggul atau paling stabil dibanding alternatif lain. win_rate_delta=+0.00 pp, average_return_delta=+0.0000, trade_retention=0.0%, max_drawdown_delta=+0.0000. Margin pemenang sempit, jadi keputusan ini masih perlu verifikasi tambahan.",False,,,not_available,consumer,,konsumsi,
