ticker,config_id,best_threshold,best_strict_mode,decision_confidence,decision_margin,trade_floor_override,usable_recommendation,outcome,baseline_threshold,baseline_strict_mode,baseline_total_trades,total_trades,delta_total_trades,trade_retention_pct,baseline_win_rate,win_rate,delta_win_rate,baseline_average_return,average_return,delta_average_return,baseline_max_drawdown,max_drawdown,delta_max_drawdown,score,selection_reason,category,market_cap_group,sector,beta_group
ADRO,threshold_2.0_strict_false,2.0,False,low,0.0,True,False,worsen,1.5,False,3,2,-1,66.6667,33.33,50.0,16.67,-0.5257,0.2115,0.7372,0.3802,0.0,-0.3802,-31.7145,"Config threshold_2.0_strict_false dipilih karena memberi skor adaptive tertinggi dengan threshold=2.0 dan strict=false. total_trades=2, delta_win_rate=+16.67, delta_average_return=+0.7372, delta_max_drawdown=-0.3802. Tidak ada kandidat yang memenuhi min_trades sehingga rekomendasi tidak usable.",energy,,energi,
ASII,threshold_1.5_strict_false,1.5,False,low,0.0,True,False,worsen,1.5,False,1,1,0,100.0,0.0,0.0,0.0,-3.4221,-3.4221,0.0,0.0,0.0,0.0,-51.0,"Config threshold_1.5_strict_false dipilih karena memberi skor adaptive tertinggi dengan threshold=1.5 dan strict=false. total_trades=1, delta_win_rate=+0.00, delta_average_return=+0.0000, delta_max_drawdown=+0.0000. Tidak ada kandidat yang memenuhi min_trades sehingga rekomendasi tidak usable.",automotive,,otomotif,
BMRI,threshold_1.5_strict_false,1.5,False,low,0.0,True,False,worsen,1.5,False,1,1,0,100.0,0.0,0.0,0.0,-5.4326,-5.4326,0.0,0.0,0.0,0.0,-51.0,"Config threshold_1.5_strict_false dipilih karena memberi skor adaptive tertinggi dengan threshold=1.5 dan strict=false. total_trades=1, delta_win_rate=+0.00, delta_average_return=+0.0000, delta_max_drawdown=+0.0000. Tidak ada kandidat yang memenuhi min_trades sehingga rekomendasi tidak usable.",finance,,perbankan,
TLKM,threshold_1.5_strict_false,1.5,False,low,0.0,True,False,worsen,1.5,False,1,1,0,100.0,0.0,0.0,0.0,-6.1728,-6.1728,0.0,0.0,0.0,0.0,-51.0,"Config threshold_1.5_strict_false dipilih karena memberi skor adaptive tertinggi dengan threshold=1.5 dan strict=false. total_trades=1, delta_win_rate=+0.00, delta_average_return=+0.0000, delta_max_drawdown=+0.0000. Tidak ada kandidat yang memenuhi min_trades sehingga rekomendasi tidak usable.",telco,,telekomunikasi,
BBCA,threshold_1.5_strict_false,1.5,False,low,0.0,True,False,worsen,1.5,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.0,"Config threshold_1.5_strict_false dipilih karena memberi skor adaptive tertinggi dengan threshold=1.5 dan strict=false. total_trades=0, delta_win_rate=+0.00, delta_average_return=+0.0000, delta_max_drawdown=+0.0000. Tidak ada kandidat yang memenuhi min_trades sehingga rekomendasi tidak usable.",finance,,perbankan,
BBRI,threshold_1.5_strict_false,1.5,False,low,0.0,True,False,worsen,1.5,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.0,"Config threshold_1.5_strict_false dipilih karena memberi skor adaptive tertinggi dengan threshold=1.5 dan strict=false. total_trades=0, delta_win_rate=+0.00, delta_average_return=+0.0000, delta_max_drawdown=+0.0000. Tidak ada kandidat yang memenuhi min_trades sehingga rekomendasi tidak usable.",finance,,perbankan,
BUMI,threshold_1.5_strict_false,1.5,False,low,0.0,True,False,worsen,1.5,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.0,"Config threshold_1.5_strict_false dipilih karena memberi skor adaptive tertinggi dengan threshold=1.5 dan strict=false. total_trades=0, delta_win_rate=+0.00, delta_average_return=+0.0000, delta_max_drawdown=+0.0000. Tidak ada kandidat yang memenuhi min_trades sehingga rekomendasi tidak usable.",mining,,pertambangan,
DEWA,threshold_1.5_strict_false,1.5,False,low,0.0,True,False,worsen,1.5,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.0,"Config threshold_1.5_strict_false dipilih karena memberi skor adaptive tertinggi dengan threshold=1.5 dan strict=false. total_trades=0, delta_win_rate=+0.00, delta_average_return=+0.0000, delta_max_drawdown=+0.0000. Tidak ada kandidat yang memenuhi min_trades sehingga rekomendasi tidak usable.",mining,,pertambangan,
GOTO,threshold_1.5_strict_false,1.5,False,low,0.0,True,False,worsen,1.5,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.0,"Config threshold_1.5_strict_false dipilih karena memberi skor adaptive tertinggi dengan threshold=1.5 dan strict=false. total_trades=0, delta_win_rate=+0.00, delta_average_return=+0.0000, delta_max_drawdown=+0.0000. Tidak ada kandidat yang memenuhi min_trades sehingga rekomendasi tidak usable.",technology,,teknologi,
UNVR,threshold_1.5_strict_false,1.5,False,low,0.0,True,False,worsen,1.5,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.0,"Config threshold_1.5_strict_false dipilih karena memberi skor adaptive tertinggi dengan threshold=1.5 dan strict=false. total_trades=0, delta_win_rate=+0.00, delta_average_return=+0.0000, delta_max_drawdown=+0.0000. Tidak ada kandidat yang memenuhi min_trades sehingga rekomendasi tidak usable.",consumer,,konsumsi,
